,,CODIFICACIÓN,,,ETIQUETADO,,,,,
265,"Reivindicamos la laicidad en la escuela pública, y reivindicamos el fortalecimiento de una Europa Laica cuyos valores sean la libertad de conciencia, la igualdad entre los ciudadanos, al margen de sus convicciones religiosas. Y así mismo, la autonomía de juicio, cultivada gracias a una educación pública y laica, depositaria de la cultura universal. La práctica religiosa debe ser libre, pero circunscrita al estricto ámbito de lo privado.",C103,,,SECULARISMO,"VALORES, DERECHOS Y LIBERTADES",,,EDUCACIÓN,
266,"La Europa que queremos necesita una democratización en la economía. Las coaliciones, los derechos de huelga, la codeterminación se deben aplicar atravesando las fronteras. Rechazamos la subordinación de los componentes sociales y los sindicatos a los estándares del mercado tal como lo sostiene el Tribunal Superior Europeo de Justicia. Al contrario, los derechos y las oportunidades de los trabajadores para participar en la toma de decisiones, en cuanto a inversiones o regulaciones en las producciones se debe ampliar y fijar por ley.",000,,,,,,,,
267,IU se posiciona a favor del reconocimiento del derecho a una muerte digna.,000,,,,,,,,
268,"El rechazo activo de todas las políticas e instrumentos que no tengan en cuenta y desarrollen la aplicación efectiva de los derechos de las personas migrantes consagrados en Declaraciones, Convenios y Tratados Internacionales. En especial, instaremos a la ratificación y aplicación, por todos los Estados miembro, de la Convención Internacional sobre Derechos de las personas migrantes y sus familias, de 1990.",000,,,,,,,,
269,"Conseguir, en coordinación con todas las organizaciones que trabajan en ese sentido, el cierre de los Centros de Internamiento de Extranjeros, tanto dentro como fuera -pero potenciados por éstade la UE, sobre la base de no criminalización ni privación de libertad de las personas migrantes, por el mero hecho de estar en situación administrativa irregular.",000,,,,,,,,
270,"Hacer efectiva la garantía de defensa y el control judicial pleno de las expulsiones o retornos, así como la prohibición de las expulsiones colectivas.",000,,,,,,,,
271,"Modificación de la Directiva de Reagrupación Familiar, para que haga realmente efectivo el ejercicio de este derecho, en vez de obstaculizarlo.",000,,,,,,,,
272,Unas normas para el tratamiento de los Menores Extranjeros no acompañados que respeten escrupulosamente la Convención Internacional de los Derechos del Niño.,000,,,,,,,,
273,Medidas contra la trata de seres humanos que protejan y no penalicen a las víctimas.,000,,,,,,,,
274,"Extender los derechos de Ciudadanía a los residentes no comunitarios y especialmente el derecho de sufragio activo y pasivo, en igualdad con los comunitarios, como elemento fundamental de participación e integración en el país de residencia.",000,,,,,,,,
275,"Proponemos la abolición de la deuda externa y que los planes de cooperación y ayudas al desarrollo, sean comunitarios o bilaterales, no estén ligados a acuerdos de readmisión obligatorios ni a intereses comerciales y/o económicos de los países cooperantes.",000,,,,,,,,
276,Apostamos por la instauración de la ciudadanía de residencia europea.,000,,,,,,,,
277,"Defendemos el derecho a voto de los inmigrantes, al menos en las elecciones municipales y en las europeas.",000,,,,,,,,
278,Defendemos la búsqueda de una política de inmigración común e integradora.,000,,,,,,,,
279,Abogamos por el derecho al trabajo y a los derechos sociales de los inmigrantes que residen en la UE,000,,,,,,,,
280,"En definitiva, queremos trabajar por una Europa cosmopolita y abierta a la inmigración, necesaria hoy y más aún en el futuro. Estamos contra la Europa fortaleza, que a la vez que impone sus intereses a los países menos desarrollados rechaza a las víctimas de su expolio. Estamos, asimismo, por una política común de Asilo que respete y desarrolle la Convención de Ginebra, de manera que Europa sea tierra de acogida para la gente que huye de las persecuciones políticas, ideológicas, religiosas o en razón de su opción sexual (como en su día lo fueron otros países para quienes huían de la Europa del nazismo y el fascismo), con especial atención a las niñas y niños que demandan protección.",000,,,,,,,,
281,"En primer lugar, abogamos por un verdadero proceso Constituyente. La redacción de cualquier proyecto de nueva Constitución debe emanar de una Asamblea Constituyente, elegida por sufragio universal directo de los ciudadanos de todos los estados miembros y con mandato para ello. Es este nuevo Parlamento constituyente el encargado de escoger un gobierno, y de su control democrático. Se promoverá una Asamblea Constituyente, con los parlamentarios elegidos en cada país, que será la encargada de redactar una nueva Constitución, la cual será sometida a referéndum en todos los países en fecha fija.",000,,,,,,,,
282,"Con el fin de exigir un espacio político para todo el mundo que vive en Europa el Parlamento Europeo ha de tener capacidad de iniciativa legislativa. La participación directa en el proceso de decisión europeo incluyendo los referenda en la UE y en los países debe ser posible. Las instituciones de la UE (Consejo, Comisión y Parlamento) deben abrirse a la participación de la sociedad civil, que debería tener capacidad para controlar las decisiones. Se promoverá la regulación de un mecanismo para la posible presentación de ILP (Iniciativas Legislativas Populares) por parte de los ciudadanos europeos en temas de especial importancia para la UE.",000,,,,,,,,
283,"Deben abandonarse aquellas medidas antiterroristas de la UE han servido por sus aspectos autoritarios o de control social de la ciudadanía, para limitar los derechos y libertades de los ciudadanos de la UE. Queremos la abolición de la lista de “Organizaciones terroristas”, que limitan nuestra libertad.",000,,,,,,,,
284,"Rechazamos la red Echelon y la autorización del Parlamento Europeo para el control e intercepción de las comunicaciones que se autorizó tras el 11 S. Nada justifica hoy esa intromisión en el derecho a la libre expresión, intimidad y comunicación.",000,,,,,,,,
285,"Queremos una Europa cosmopolita abierta al derecho de asilo. Contra la Europa fortaleza que repele a los seres humanos que tienen necesidades. Debe haber una política común migratoria y de asilo de acuerdo con la Convención de Ginebra. La gente que huye de las persecuciones (políticas, ideológicas, religiosas o sexuales) debe encontrar refugio en Europa. Pedimos el reconocimiento del derecho a la protección y asilo cuando se da discriminación sexual, así como cuando la persecución es por organizaciones no-gubernamentales y hacemos un llamamiento específico a la protección de los niños refugiados.",000,,,,,,,,
286,Las prisiones de detención deben acabarse. Rechazamos absolutamente los Centros de Detención de Inmigrantes. Deben cerrarse los centros de detención extracomunitarios porque su funcionamiento se encuentra fuera de las legislaciones europeas e internacionales de derechos humanos,C103,,,"VALORES, DERECHOS Y LIBERTADES",REGULACIÓN,,,,
287,"Nos oponemos a la “represión preventiva” y a los “archivos preventivos de datos personales” (Tratado Prim.), que crean sospechosos y otorgan a las fuerzas policiales y judiciales, a las empresas de seguridad privadas e incluso a los servicios secretos, el derecho a usar datos personales a través de la más grande base de datos creada, bajo el pretexto de la defensa de la seguridad pública.",000,,,,,,,,
288,"Izquierda Unida y la izquierda Europea reafirmamos nuestra petición de disolución de la OTAN. Nos oponemos a la lógica militar de bloques, incluyendo los intentos de crear estructuras militares europeas.",000,,,,,,,,
289,"Desde nuestra visión y concepción de Europa, desde una Europa emancipada de la tutela y dominación atlantista, desde una Europa soberana y democrática, IU reitera su apuesta por avanzar en la articulación de espacios comunes y compartidos en materia de Política Exterior, de Seguridad y Desarme, a favor de la cooperación global hacia la paz, el desarme y la desmilitarización, en pro del co-desarrollo y de la solidaridad entre los pueblos.",000,,,,,,,,
290,La retirada de las tropas de la OTAN y de la coalición occidental de Iraq y Afganistán es una condición necesaria. La comunidad internacional así como la UE han de apoyar al pueblo de Afganistán para encontrar una solución pacífica sobre bases no militares respetando el derecho internacional y los derechos humanos. Exigimos además la clausura de todas las bases de la OTAN y de Estados Unidos en Europa.,C103,,,RELACIONES INTERNACIONALES,"VALORES, DERECHOS Y LIBERTADES",,,,
291,"El desarrollo y las políticas comerciales de la UE deben acomodarse a los Objetivos del Milenio y alinearse con los principios de igualdad de todos los países. Los Acuerdos de Cooperación y Partenariado Europeos son un camino equivocado. La política comercial internacional de la UE ha de reconducirse de forma que de respuestas adecuadas para resolver los problemas sociales y ecológicos globales. La lucha contra la creciente pobreza global y la injusticia tiene que centrarse en el desarrollo de la cooperación y debe frenar el mal uso que se le da hoy a la cooperación al desarrollo que perpetua las relaciones coloniales, apoya la exportación industrial de empresas europeas de forma unilateral o sirve de instrumento geopolítico. Estamos por la prohibición a transformar alimentos en fuel. Estamos por la extinción de la deuda externa de los países pobres y por la revisión de los Programas de Ajuste Estructural del MB y del FMI.",000,,,,,,,,
292,La creación de una Agencia de Cooperación al Desarrollo que coordine las políticas de cooperación al desarrollo de los países de la UE.,000,,,,,,,,
293,"Cambiar le porcentaje destinado a cooperación, entendiendo que el 80% de lo presupuestado debiera dedicarse a la co-financiación de proyectos con ONGs y dedicar sólo el 20% a la cooperación bilateral.",000,,,,,,,,
294,Apoyamos un desarrollo de la Cooperación Mediterránea. Es una cuestión clave para conseguir paz y seguridad en Oriente Próximo. Hace falta la participación activa de todas las fuerzas políticas y sociales de los países involucrados. El proceso democrático y transparente de iniciar una relación entre los países del Norte y Sur del Mediterráneo. Este es el único camino para evitar que el ambicioso proyecto político que es la Unión Mediterránea se convierta en una estructura política de desigualdad.,000,,,,,,,,
295,"Una paz duradera y estable en el Mediterráneo es imposible sin resolver el conflicto en el Oriente Medio. La precondición esencial para ello es reconocer y hacer efectivo el derecho del pueblo palestino a tener un Estado Independiente y viable al lado del Estado de Israel, en condiciones de igualdad de derechos y en pacífica convivencia de vecindad. IU hará todo lo posible para exigir y presionar a la UE y a sus países miembros a actuar firmemente en esta dirección. Europa necesita emanciparse de el plan del“Gran Oriente Medio” de EE.UU., que no reconoce a Hammas como interlocutor (a pesar de haber reconocido que ganaron las elecciones limpiamente) fundamentalemente porque no reconocen el Estado de Israel, pero sí reconocen al Gobierno de Netanyahu y Lieberman, de extrema derecha, a pesar de que éste no está por la creación del Estado Palestino. La UE debe comprometerse activamente en el fin de la ocupación militar de los territorios palestinos, al derribo del “Muro” (de acuerdo con la recomendación de la Corte Internacional de Justicia) y con el estricto cumplimiento de las Resoluciones de la ONU.",000,,,,,,,,
296,La UE dar más pasos políticos para demandar el apoyo de los países árabes de la región y estimular el crecimiento de la sociedad civil para trabajar en una resolución política de los conflictos. La Izquierda Europea rechaza la política de confrontación hacia Irán – en particular en lo que se refiere al conflicto del uso de la energía nuclear y demandar unas negociaciones estrictamente políticas. El PIE expresa su solidaridad con las fuerzas políticas y sociales que luchan por al implementación con garantías de los derechos Humanos en Irán.,C103,,,RELACIONES INTERNACIONALES,"VALORES, DERECHOS Y LIBERTADES",,,,
297,"Izquierda Unida vuelve a poner de manifiesto su compromiso con un proceso de seguridad y cooperación de todos los estados del Mediterráneo y el Oriente Medio, así como el derecho del pueblo Saharaui a la autodeterminación, sobre las bases de las resoluciones 1754 y 1783 de las Naciones Unidas.",000,,,,,,,,
298,En el Parlamento europeo. IU seguirá denunciando esta situación y la exigirá que Marruecos respete los Tratados. IU llevará estas cuestiones al Parlamento solidariamente con las organizaciones progresistas de Marruecos que luchan por una democracia real en su país.,000,,,,,,,,
299,"Para IU, el requisito imprescindible para la entrada de Turquía en la UE es la retirada de éste país de Chipre, un país que ha dado un paso significativo tras la elección de Dimitris Christofias como Presidente de la República, ya que abre esperanzas en relación con la reunificación de la isla. La puesta en marcha de negociaciones entre los líderes de las dos comunidades bajo los auspicios de la ONU debería abocar a una solución federal bi-zonal, bi-comunal, sobre la base de los Acuerdos de Alto Nivel de la ONU, la legislación internacional y las leyes europeas.",000,,,,,,,,
300,"La Izquierda Europea favorece la creación de todas las condiciones políticas y económicas para una coexistencia pacífica entre los pueblos y Estados europeos. Europa necesita un espacio económico y social que no excluya a ningún país europeo y que esté basada en un sistema bi y multilateral de acuerdos. La Izquierda Europea está a favor de la ampliación de la UE y por una estructura paneuropea estable que supere las divisiones económicas u sociales existentes. Para ello, el PIE apoya en especial la preservación de la gobernanza democrática, la garantía de derechos humanos para todos, el respeto y la protección de las minorías y el estado de derecho como condiciones previas importantes para negociar con países que quieren formar parte de la Unión Europea. La UE debe estar preparada política y económicamente para dar pasos a la ampliación.",C102,,,ACUERDO ADHESIÓN,,,,,
301,La Izquierda Europea exige una aplicación de la política de vecindad de la UE sobre la base de igualdad. En particular en relación con la CES y los países de los Balcanes.,000,,,,,,,,
302,"Por eso desde IU apostamos por una refundación democrática, social y económica de la Unión Europea. Una refundación que acerque la actividad institucional de la UE a las demandas de la ciudadanía. En este contexto debe abordarse la eventual ampliación de la UE a otros países. Naturalmente, somos de la opinión de que son inexcusables las condiciones de cumplimiento de las exigencias democráticas elementales, entre ellas el respeto a las minorías y el estricto cumplimiento de los derechos humanos.",C102,,,ACUERDO ADHESIÓN,,,,,
