,,CODIFICACIÓN,,,ETIQUETADO,,,
375,"Seguiremos trabajando para fortalecer la relación de la UE con sus vecinos mediterráneos, que constituyen una región esencial para España. Es muy necesario conseguir formar con nuestros vecinos un espacio de paz, prosperidad, estabilidad y libertad en el que podamos proyectar valores como el estado de derecho y el respeto de derechos humanos.",C101,,,RELACIONES INTERNACIONALES,"VALORES, DERECHOS Y LIBERTADES",,
376,"Apoyaremos la consolidación y desarrollo de la recién creada Unión por el Mediterráneo, el lanzamiento de los proyectos de cooperación contemplados y la apertura efectiva de su Secretariado en Barcelona, cuya candidatura respaldamos desde un principio.",000,,,,,,
377,"Apoyamos también la concesión de un estatuto avanzado para Marruecos en la Unión Europea, un país que constituye una prioridad estratégica para España. En todo caso, en este reforzamiento multidireccional de las relaciones de la UE con nuestro vecino magrebí, tendremos muy en cuenta los intereses específicos de los agricultores españoles.",A201,,,MEDIDAS DE MERCADO,,,
378,"Prestaremos especial atención a las relaciones de la UE con Argelia, socio muy relevante de España y de la Unión Europea, para favorecer la necesaria diversificación del aprovisionamiento energético.",D301,,,ENERGÍA,,,
379,"Apoyaremos que la Unión Europea, dada su relevancia política y su carácter de primer donante de la región, desempeñe un papel creciente en el impulso de una solución duradera, justa y estable del conflicto de Oriente Medio, en estrecha coordinación con EEUU y en el seno del Cuarteto. Debemos procurar también la involucración activa de los países árabes para la consecución de ese objetivo. Somos conscientes de que este grave conflicto no sólo tiene consecuencias negativas en Oriente Medio y en todo el Mediterráneo, sino que también afecta al conjunto de las relaciones entre los países occidentales y el mundo musulmán.",000,,,,,,
380,"Seguiremos consolidando la dimensión parlamentaria de la Unión por el Mediterráneo través de la Asamblea Parlamentaria Euromediterránea (EMPA), institución parlamentaria que agrupa a representantes de más de 750 millones de habitantes.",000,,,,,,
381,"Dentro de la llamada ""Política de Vecindad"" apoyamos también la recién puesta en marcha de la Asociación Oriental, que servirá para intensificar las relaciones de la Unión Europea con Ucrania, Moldavia y Bielorrusia y los tres países caucásicos (de Georgia, Armenia y Azerbaiján). La crisis de Georgia del pasado verano puso de manifiesto la necesidad de prestar mayor atención a estos vecinos europeos, llamados a desempeñar también un papel destacado en la búsqueda de la diversificación de vías de aprovisionamiento energético para la Unión Europea.",D301,,,ENERGÍA,,,
382,"Somos conscientes de su carácter de vecino europeo, de su relevancia como actor global y potencia militar, y de su riqueza en recursos energéticos y naturales, de los que dependen muchos países de la Unión Europea. Apoyamos, por consiguiente, el establecimiento de una relación de cooperación constructiva con Rusia que se plasme en un nuevo acuerdo de asociación.",D301,,,ENERGÍA,,,
383,"Favorecemos una política de especial atención a los países de África subsahariana y apoyamos el desarrollo de la relación de la UE-África y de las Cumbres bilaterales que se seguirán celebrando desde la Cumbre de Lisboa del 2007, cada tres a años.",000,,,,,,
384,"Favoreceremos el impulso y la aplicación de la llamada Estrategia Conjunta UE- África que, además del desarrollo, quiere abordar con África temas como la paz y la seguridad, la energía o el cambio climático.",000,,,,,,
385,"Impulsaremos las políticas de cooperación al desarrollo de los países europeos con África subsahariana, con vistas a alcanzar los llamados Objetivos de Desarrollo del Milenio. Todos los Estados Miembros de la Unión Europea nos hemos comprometido a que el 0,7% de nuestra Renta Nacional Bruta sea destinado a la ayuda al desarrollo en el año 2015.",000,,,,,,
386,"Apoyaremos el refuerzo de la cooperación en materias de educación y formación, para ampliar la capacidad de las personas ayudando así a su desarrollo personal y aumentar sus oportunidades. Es imprescindible promover la libertad y la dignidad de la mujer.",C101,,,IGUALDAD DE GÉNERO,,,
387,"Trabajaremos para que los países de África subsahariana se integren plenamente en la economía y en el comercio mundiales, y que sus estructuras económicas se diversifiquen más. Igualmente, es necesario que progresen en el respeto de los derechos humanos, el estado de derecho y la buena gobernanza, incluida la lucha contra la corrupción.",000,,,,,,
388,"Incentivaremos la cooperación de estos países con los europeos, para conseguir una gestión ordenada de los flujos migratorios, que redundará en beneficio de ambas partes.",000,,,,,,
389,Apoyamos los esfuerzos que la Unión Europea a lo largo de estos años viene haciendo para intensificar su presencia en Asia y reforzar sus relaciones con los países asiáticos. Para España es muy importante aprovechar también este refuerzo de la presencia europea en Asia para fortalecer nuestros lazos con este continente en el que todavía tenemos un déficit de presencia y de relación.,000,,,,,,
390,"Respaldamos las asociaciones estratégicas que la Unión Europea ha establecido con China, India y Japón, que se traducen, por ejemplo, en Cumbres anuales institucionalizadas",000,,,,,,
391,"Seguiremos con atención el desarrollo del proceso ASEM (Encuentro Asia-Europa) que cada dos años reúne a los Jefes de Estado y Gobierno de los países de la Unión Europea con los de numerosos países asiáticos, en los que se acaba de incluir la India.",000,,,,,,
392,"Impulsaremos el desarrollo de acciones de cooperación entre la Unión Europea y ASEAN (compuesto por Indonesia, Malasia, Filipinas, Singapur, Tailandia, Brunei, Vietnam, Laos, Birmania y Camboya).",000,,,,,,
393,"Apoyamos la intensificación de las relaciones de la Unión Europea y las Naciones Unidas. Con los instrumentos del Tratado de Lisboa y en especial el reconocimiento de personalidad jurídica a la Unión, ésta debería procurar reforzar su capacidad de actuación en las organizaciones internacionales y en especial en las Naciones Unidas y organismos dependientes.",000,,,,,,
394,"Seguiremos apoyando desde el Parlamento Europeo el proceso de reforma de la ONU, puesto en marcha desde la Cumbre del 2005. Creemos necesario reformar el Consejo de Seguridad, para hacerlo más eficaz y mas representativo.",000,,,,,,
395,"Apoyamos el objetivo de que en el momento oportuno, cuando las condiciones necesarias se reúnan, la Unión Europea pueda ocupar un puesto permanente en el Consejo de Seguridad.",000,,,,,,
