,,CODIFICACIÓN,,,ETIQUETAS,,,,
382,"Els estat membres haurien de continuar portant a terme els seus compromisos de la Declaració i la Plataforma de la l’Acció adoptada a Beijing (1995) i durant les reunions de Beijin+5 i Beijin+10, així com els seus compromisos conforme la llei internacional, en particular en relació a la implementació de la Resolució 1325 del Consell de Seguretat de Nacions Unides i l’estratègia de Lisboa.",000,,,,,,,
383,"Animar Nacions Unides a què promogui una nova Conferència Mundial de Dones. Assegurar la creació d’un fòrum apropiat sobre els drets de les dones, mantenint així l’esperit de la Quarta Conferència Mundial de Dones de Beijing .",C101,,,IGUALDAD DE GÉNERO,,,,
384,Incorporar la perspectiva de gènere en els programes europeus amb països tercers per tal d’establir estàndards d’igualtat entre dones i homes.,C102,,,IGUALDAD DE GÉNERO,RELACIONES INTERNACIONALES,,,
385,"Establir un Pla d’Acció de la Unió Europea per a la posada en pràctica de la Resolució 1325 del Consell de Seguretat de Nacions Unides, que entre d’altres, reconeix la necessitat d’incorporar la perspectiva de gènere en les operacions de pau, així com l’especial atenció a la protecció, als drets i a les necessitats de les dones.",C102,,,IGUALDAD DE GÉNERO,RELACIONES INTERNACIONALES,REGULACIÓN,,
386,Instar Nacions Unides a l’assignació de fons econòmics per donar suport a les víctimes d’abusos sexuals com una manera d’empoderar dones i nenes per prevenir els abusos sexuals.,000,,,,,,,
387,"Implementar el Codi de conducta de la Unió Europea sobre l’exportació d’armes, com un mitjà per reduir el nombre de conflictes armats al món.",000,,,,,,,
388,Una política de la Comissió Europea d’Ajuda Humanitària (ECHO) per prioritzar i donar ajuda financera a les dones que han patit violència de gènere durant els conflictes.,C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,COOPERACIÓN AL DESARROLLO,,
389,Que el Tribunal Penal Internacional jutgi la violació dels Drets Humans de les dones com a crims de guerra.,C103,,,"VALORES, DERECHOS Y LIBERTADES",IGUALDAD DE GÉNERO,REGULACIÓN,,
390,"Dotar la UE de la figura del o de la representant especial per als drets de les dones, que potenciaria l’empoderament de les dones en la política exterior i el desenvolupament.",C102,,,IGUALDAD DE GÉNERO,RELACIONES INTERNACIONALES,REGULACIÓN,,
391,"Introduir l'educació per la ciutadania europea en els programes educatius a tots els nivells a tots els països de la UE. De la mateixa manera, en el marc del compromís de la UE per la no- discriminació, impulsar legislació per la coeducació a tots els estats de la UE.",C101,,,CIUDADANÍA EUROPEA,EDUCACIÓN,,,
392,"Impulsar des del Parlament Europeu la declaració de l'accés a Internet universal i gratuït un dret de les persones, i que conseqüentment la Comissió Europea elabori un programa per tal de lluitar contra l'analfabetisme digital a la UE. De la mateixa manera, destinar una part dels fons de cooperació a programes similars arreu del món.",B103,,,GESTIÓN,ACCESO,SOCIEDAD DE LA INFORMACIÓN,,
393,Implicar el Parlament Europeu en el seguiment i control exhaustiu de la implantació de l’Espai Europeu d'Educació Superior. Promoure l'augment de la inversió pública en universitats i beques.,B102,,,GESTIÓN,EDUCACIÓN,,,
394,"Incrementar i fer progressives les beques per al programa ERASMUS i les ajudes per estudiar idiomes a l'estranger, de tal manera que aquestes siguin suficients per a la subsistència dels estudiants d'intercanvi.",000,,,,,,,
395,"Impulsar el reconeixement de l'educació no formal a l'alçada d'altres tipus de formació reconegudes, introduir-hi els camps pertinents en el model europeu de currículum vitae.",000,,,,,,,
396,"Promoure l'estudi de llengües europees, per tal de preservar la riquesa que representa la diversitat cultural i facilitar el diàleg intercultural. En aquest sentit, cal que les institucions europees donin exemple en protegir les llengües regionals no oficials de la UE. Cada europeu i europea hauria de parlar dues llengües europees a banda de la materna.",000,,,,,,,
397,"Implantar un Salari Mínim Europeu, de com a mínim el 60% el salari mitjà de cada estat membre per tal de lluitar contra la precarietat laboral i facilitar l’emancipació del jovent.",000,,,,,,,
398,Prohibir les pràctiques no remunerades mitjançant sancions als empresaris i reconèixer-les com a experiència laboral a l'hora de cotitzar. Establir una remuneració mínima per hora treballada dels becaris.,000,,,,,,,
399,Demanar a les institucions europees un seguiment i la sanció pertinent a les empreses que facin discriminació salarial entre homes i dones.,C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
400,"Promoure la participació en reconèixer les tasques de voluntariat i activisme juvenil a la societat civil, facilitar l'accés als programa europeu de servei de voluntariat i incrementar el seu finançament per millorar les condicions dels voluntaris i les voluntàries.",000,,,,,,,
401,"En cas que la UE adquireixi en algun moment la competència en matèria d'hisenda, desincentivar fiscalment la temporalitat en els contractes i afavorir contractes de llarga durada que garanteixin l'estabilitat dels joves.",000,,,,,,,
402,"Impulsar des del Parlament Europeu una directiva europea sobre les deslocalitzacions, evitant així la competència deslleial i el dumping social i ambiental en el si de la UE. Obligar a les empreses que han rebut subvencions europees o dels estats membres que es deslocalitzin sense motius de pes reals a retornar l'import percebut",000,,,,,,,
403,Garantir l'avortament lliure i gratuït en l’àmbit europeu i regular la seva pràctica.,B103,,,GESTIÓN,SERVICIOS SANITARIOS,,,
404,"Establir l'educació sexual com a obligatòria als diferents àmbits educatius a tots els estats de la UE, tot fent èmfasi en la diversitat i el respecte a les llibertats sexuals.",C102,,,"VALORES, DERECHOS Y LIBERTADES",EDUCACIÓN,,,
405,"Garantir els drets de les minories sexuals en l’àmbit europeu. En el marc de la directiva horitzontal de no-discriminació de la UE, establir un programa contra l'homofòbia amb especial èmfasi en la prevenció del bullying homòfob en edats escolars.",C102,,,LGBT,FORMAS DE DISCRIMINACIÓN,REGULACIÓN,,
406,"Establir la violació dels drets sexuals i reproductius per part de qualsevol estat europeu com a motiu de sanció i, que en cas de violació reiterada, comporti l'expulsió de la Unió. De la mateixa manera, demanar el respecte a les llibertats sexuals i la garantia dels drets reproductius com a condició d'adhesió a la UE.",C103,,,DERECHOS SEXUALES,DERECHOS REPRODUCTIVOS,REGULACIÓN,ACUERDO ADHESIÓN,
407,"Impulsar centres d’assessorament i assistència mèdica, planificació familiar, seguiment, prevenció i tractament STDs (Programa europeu).",000,,,,,,,
408,"Garantir l’habitatge com a dret fonamental de la UE, impedir que formi part dels denominats àmbits d’interès econòmic general i, per tant, subjecte a intervenció pública per davant de les regles del lliure mercat.",B103,,,GESTIÓN,ACCESO,VIVIENDA,,
409,"Promoure les ajudes progressives per a l'emancipació juvenil, en forma d’ajuts econòmics i mitjançant mecanismes fiscals. Flexibilitzar els requisits d’accés a la vivenda i establir els estats com a garant de darrera instància en l’aval per a la vivenda de lloguer i per a la concessió d’hipoteques bancàries.",B102,,,ACCESO,VIVIENDA,,,
410,Impulsar una directiva europea contra l’especulació immobiliària.,000,,,,,,,
411,"Destinar una partida dels fons de cohesió a subvencionar projectes de masoveria urbana i similars, que a banda d’esdevenir una solució emancipadora temporal digna promouen el compromís social i la solidaritat intergeneracional.",000,,,,,,,
412,"Promoure, a partir dels fons de cohesió, la construcció d'habitatge de protecció oficial, establir una quota mínima d’assignació directa a persones menors de 35 anys.",B102,,,GESTIÓN,ACCESO,VIVIENDA,,
413,"Implantar el dret a vot a partir del 16 anys per a les eleccions al Parlament Europeu, per tal d'incrementar i promoure la implicació del jovent en la política.",000,,,,,,,
414,"Promoure la presència de gent jove en les llistes electorals i les institucions europees, mitjançant mecanismes com les quotes de candidats menors de 30 anys ens situació elegible.",000,,,,,,,
415,"Dotar el jovent associat d’una major representativitat i d’una major incidència política, fent del Fòrum Europeu de Joventut un interlocutor d’alt nivell i, augmentar-ne el finançament.",000,,,,,,,
416,"En el marc de la nova regulació de partits polítics europeus, cal garantir el finançament adequat de les joventuts polítiques europees , per tal que puguin dur a terme les seves activitats de contribució al debat polític i ideològic sobre la UE sense les restriccions econòmiques i tècniques actuals.",000,,,,,,,
417,"Fomentar la participació del jovent no associat en la conformació de polítiques de joventut, a través de campanyes de sensibilització i del reconeixement curricular de la participació a la societat civil.",000,,,,,,,
418,"Facilitar l’accés a subvencions comunitàries per a projectes transnacionals de cooperació juvenil, augmentar-ne la seva difusió i simplificar els mecanismes. Augmentar-ne els recursos econòmics, tècnics i humans.",000,,,,,,,
419,"Revisió del Pacte Europeu de Joventut, per tal d’assegurar la transversalitat de les polítiques de joventut i garantir l’avaluació de l’impacte de tota legislació europea en els i les joves.",000,,,,,,,
420,"Implantar una tarifa jove reduïda en l’àmbit europeu per al transport ferroviari internacional, per tal de promoure una mobilitat sostenible.",D402,,,SECTORES ENERGÉTICOS,,,,
421,"Destinar fons comunitaris a la mobilitat sostenible en les àrees urbanes més poblades, impulsar sistemes públics d’ús de bicicleta i ampliar xarxes de carril bici.",D602,,,MOVILIDAD SOSTENIBLE,,,,
422,"Augmentar els recursos per a programes com l’ERASMUS o el LEONARDO da Vinci, facilitar-ne els tràmits administratius i ampliar- los a fora de la UE mitjançant acords bilaterals.",000,,,,,,,
423,Garantir un sistema de pensions integrat per tal d’unificar totes les cotitzacions efectuades en les diferents etapes laborals en diferents països de la UE.,000,,,,,,,
424,"Eliminar els visats d’entrada a la UE, com a mínim per als joves estudiants i treballadors.",000,,,,,,,
425,"Impulsar un programa que elimini les barreres a la mobilitat de les persones amb discapacitat a tota la UE, adaptar els espais públics i garantir l’assistència en el viatge en tot tipus de transport comunitari.",C102,,,DIVERSIDAD FUNCIONAL,REGULACIÓN,,,
426,"Declaració del dret fonamental universal a la vida sana per a tot ciutadà o ciutadana de la UE, independentment de les seves condicions socioeconòmiques.",B103,,,GESTIÓN,ACCESO,SERVICIOS SANITARIOS,,
427,Ampliar el període de baixa de maternitat i de paternitat a la UE fins als estàndards més alts; igualar ambdós períodes.,000,,,,,,,
428,"Endegar un programa europeu d’alimentació sana i sostenible, fer èmfasi en la dieta i els hàbits alimentaris als centres d’ensenyament de primària i secundària, prohibir-hi els transgènics.",A203,,,OGM,,,,
429,"Reconèixer i garantir el dret a l'esport en l’àmbit europeu, com a part integral de la salut de les persones. Prioritzar que els fons comunitaris es destinin a instal·lacions públiques per a la pràctica de l’esport de base.",B103,,,GESTIÓN,ACCESO,SERVICIOS SANITARIOS,,
430,"Impulsar un programa europeu de sensibilització sobre la drogoaddicció, incloure-hi cursos informatius obligatoris als diversos nivells educatius a tota la UE.",000,,,,,,,
431,"Dissenyar una xarxa europea de centres d’assessorament i assistència per a drogodependents, que n’assegurin les condicions sanitàries i estableixin plans de rehabilitació.",000,,,,,,,
